hdi rank,country,hdi,life,expected_education,mean_education,gni,gni_rank_minus_hdi_rank,continent,Country Name,population
140,Ghana,0.579,61.4,11.5,7,3852,-1,Africa,Ghana,27582821
142,Bangladesh,0.57,71.6,10,5.1,3191,5,Asia,Bangladesh,161200886
143,Cambodia,0.555,68.4,10.9,4.4,2949,7,Asia,Cambodia,15517635
143,Sao Tome and Principe,0.555,66.5,11.3,4.7,2918,8,Africa,Sao Tome and Principe,195553
145,Kenya,0.548,61.6,11,6.3,2762,9,Africa,Kenya,47236259
145,Nepal,0.548,69.6,12.4,3.3,2311,16,Asia,Nepal,28656282
147,Pakistan,0.538,66.2,7.8,4.7,4866,-14,Asia,Pakistan,189380513
148,Myanmar,0.536,65.9,8.6,4.1,4608,-12,Asia,Myanmar,52403669
149,Angola,0.532,52.3,11.4,4.7,6822,-30,Africa,Angola,27859305
151,Tanzania,0.521,65,9.2,5.1,2411,8,Africa,,53879957
152,Nigeria,0.514,52.8,9,5.9,5341,-24,Africa,Nigeria,181181744
153,Cameroon,0.512,55.5,10.4,6,2803,-1,Africa,Cameroon,22834522
154,Madagascar,0.51,65.1,10.3,6,1328,24,Africa,Madagascar,24234088
155,Zimbabwe,0.509,57.5,10.9,7.3,1615,13,Africa,Zimbabwe,15777451
156,Mauritania,0.506,63.1,8.5,3.8,3560,-14,Africa,Mauritania,4182341
156,Solomon Islands,0.506,67.9,9.2,5,1540,16,Oceania,Solomon Islands,587482
158,Papua New Guinea,0.505,62.6,9.9,4,2463,-1,Oceania,Papua New Guinea,7919825
159,Comoros,0.503,63.3,11.5,4.6,1456,16,Africa,Comoros,777424
160,Yemen,0.498,63.8,9.2,2.6,3519,-17,Asia,,26916207
161,Lesotho,0.497,49.8,11.1,5.9,3306,-16,Africa,Lesotho,2174645
162,Togo,0.484,59.7,12.2,4.5,1228,17,Africa,Togo,7416802
163,Haiti,0.483,62.8,8.7,4.9,1669,4,Americas,Haiti,10711061
163,Rwanda,0.483,64.2,10.3,3.7,1458,11,Africa,Rwanda,11629553
163,Uganda,0.483,58.5,9.8,5.4,1613,6,Africa,Uganda,40144870
166,Benin,0.48,59.6,11.1,3.3,1767,0,Africa,Benin,10575952
167,Sudan,0.479,63.5,7,3.1,3809,-27,Africa,Sudan,38647803
168,Djibouti,0.47,62,6.4,3.8,3276,-22,Africa,Djibouti,927414
169,South Sudan,0.467,55.7,7.6,5.4,2332,-9,Africa,South Sudan,11882136
170,Senegal,0.466,66.5,7.9,2.5,2188,-8,Africa,Senegal,14976994
171,Afghanistan,0.465,60.4,9.3,3.2,1885,-7,Asia,Afghanistan,33736494
173,Malawi,0.445,62.8,10.8,4.3,747,13,Africa,Malawi,17573607
174,Ethiopia,0.442,64.1,8.5,2.4,1428,2,Africa,Ethiopia,99873033
175,Gambia,0.441,60.2,8.8,2.8,1507,-2,Africa,,1977590
177,Liberia,0.43,60.9,9.5,4.1,805,7,Africa,Liberia,4499621
178,Guinea-Bissau,0.42,55.2,9,2.8,1362,-1,Africa,Guinea-Bissau,1770526
179,Mali,0.419,58,8.4,2,1583,-8,Africa,Mali,17467905
180,Mozambique,0.416,55.1,9.3,3.2,1123,1,Africa,Mozambique,28010691
181,Sierra Leone,0.413,50.9,8.6,3.1,1780,-16,Africa,Sierra Leone,7237025
182,Guinea,0.411,58.8,8.7,2.4,1096,0,Africa,Guinea,12091533
183,Burkina Faso,0.402,58.7,7.8,1.4,1591,-13,Africa,Burkina Faso,18110624
184,Burundi,0.4,56.7,10.1,2.7,758,1,Africa,Burundi,10199270
185,Chad,0.392,51.6,7.4,1.9,2085,-22,Africa,Chad,14009413
187,Central African Republic,0.35,50.7,7.2,4.2,581,1,Africa,Central African Republic,4546100
188,Niger,0.348,61.4,5.4,1.5,908,-5,Africa,Niger,19896965
